"","countyname","state","numberofplans1","numberofplans2","countyssa","eligibles","totalenrollees","totalpenetration"
"154","AMADOR ","CA ",3,1,"HMO ",7786,1068,0.137169278191626
"155","BUTTE ","CA ",5,1,"HMO ",39395,629,0.0159664932097982
"156","CALAVERAS ","CA ",4,2,"HMO ",9231,681,0.0737731556711082
"157","COLUSA ","CA ",1,1,"HMO ",3115,41,0.0131621187800963
"158","CONTRA COSTA ","CA ",11,5,"COST ",131990,54909,0.416008788544587
"159","DEL NORTE ","CA ",1,0,"HMO ",4940,21,0.00425101214574899
"160","EL DORADO ","CA ",5,1,"HMO ",27194,6125,0.225233507391336
"161","FRESNO ","CA ",7,3,"HMO ",101516,20781,0.204706647228023
"162","GLENN ","CA ",2,1,"HMO ",4248,36,0.00847457627118644
"163","HUMBOLDT ","CA ",4,1,"HMO ",21660,117,0.0054016620498615
"164","IMPERIAL ","CA ",7,1,"HMO ",20897,377,0.0180408671101115
"165","INYO ","CA ",1,1,"HMO ",3637,23,0.00632389331866923
"166","KERN ","CA ",11,5,"HMO ",86514,27307,0.315636775550778
"167","KINGS ","CA ",29,8,"HMO ",12616,77995,6.18222891566265
"168","LAKE ","CA ",40,14,"HMO ",13251,9614,0.725530148668025
"169","LASSEN ","CA ",1,1,"HMO ",4243,38,0.00895592740985152
"170","LOS ANGELES ","CA ",36,8,"HCPP ",1099158,365226,0.332277980053823
"171","MADERA ","CA ",4,2,"HMO ",20470,4273,0.208744504152418
"172","MARIN ","CA ",6,2,"HMO ",38936,12996,0.333778508321348
"173","MARIPOSA ","CA ",2,2,"HMO ",3507,201,0.0573139435414885
"174","MENDOCINO ","CA ",4,1,"HMO ",15682,367,0.0234026272159163
"175","MERCED ","CA ",4,1,"HMO ",23627,408,0.0172683793964532
"176","MODOC ","CA ",0,0,"HMO ",1964,0,0
"177","MONO ","CA ",1,1,"HMO ",1152,14,0.0121527777777778
"178","MONTEREY ","CA ",4,1,"HMO ",45816,410,0.00894883883359525
"179","NAPA ","CA ",3,2,"HMO ",23019,6718,0.291845866458143
"180","ORANGE ","CA ",53,17,"HCPP ",333983,145450,0.435501208145325
"181","PLACER ","CA ",7,4,"HMO ",47415,21558,0.454666244859222
"182","PLUMAS ","CA ",3,2,"HMO ",4372,166,0.0379688929551693
"183","RIVERSIDE ","CA ",23,6,"HMO ",241623,103398,0.427931115829205
"184","SACRAMENTO ","CA ",11,4,"HMO ",174298,68762,0.394508255975398
"185","SAN BENITO ","CA ",2,2,"HMO ",5227,190,0.0363497225942223
"186","SAN BERNARDINO ","CA ",21,9,"HCPP ",194264,83331,0.428957501132479
"187","SAN DIEGO ","CA ",20,3,"HCPP ",368302,141742,0.384852648098571
"188","SAN FRANCISCO ","CA ",8,4,"HMO ",125493,38854,0.309610894631573
"189","SAN JOAQUIN ","CA ",7,1,"HMO ",77668,15327,0.197339959829016
"190","SAN LUIS OBISPO ","CA ",5,1,"HMO ",42102,4044,0.096052444064415
"191","SAN MATEO ","CA ",6,4,"HMO ",97981,32584,0.332554270725957
"192","SANTA BARBARA ","CA ",7,3,"HMO ",58625,10417,0.177688699360341
"193","SANTA CLARA ","CA ",7,3,"HMO ",190866,66680,0.349355044900611
"194","SHASTA ","CA ",5,0,"HMO ",36633,260,0.0070974258182513
"195","SIERRA ","CA ",1,0,"HMO ",698,11,0.0157593123209169
"196","SISKIYOU ","CA ",3,1,"HMO ",10425,92,0.00882494004796163
"197","SOLANO ","CA ",7,3,"HMO ",47643,16889,0.354490691182335
"198","SONOMA ","CA ",5,3,"HMO ",68048,20528,0.301669409828356
"199","STANISLAUS ","CA ",5,2,"HMO ",62909,22208,0.353017851181866
"200","SUTTER ","CA ",3,1,"HMO ",12666,308,0.0243170693194379
"201","TEHAMA ","CA ",2,1,"HMO ",10388,109,0.0104928763958414
"202","TRINITY ","CA ",2,1,"HMO ",3553,49,0.0137911623979735
"203","TULARE ","CA ",6,2,"HMO ",46298,1506,0.0325284029547713
"204","TUOLUMNE ","CA ",4,1,"HMO ",12039,568,0.0471799983387325
"205","VENTURA ","CA ",12,3,"HMO ",98577,22548,0.228734897592745
"206","YOLO ","CA ",7,5,"HMO ",20464,7703,0.37641712275215
"207","YUBA ","CA ",3,1,"HMO ",8913,409,0.0458880287220913
"208","ADAMS ","CO ",25,13,"HCPP ",40138,18156,0.452339428970053
"209","ALAMOSA ","CO ",2,2,"COST ",1982,170,0.0857719475277497
"210","ARAPAHOE ","CO ",10,3,"HMO ",54156,18873,0.348493241746067
"211","ARCHULETA ","CO ",1,1,"COST ",1875,136,0.0725333333333333
"212","BACA ","CO ",0,0,"PPO ",1052,0,0
"213","BENT ","CO ",1,1,"COST ",925,14,0.0151351351351351
"214","BOULDER ","CO ",7,3,"HCPP ",34153,7503,0.21968787515006
"215","BROOMFIELD ","CO ",4,0,"COST ",1198,1943,1.62186978297162
"216","CHAFFEE ","CO ",1,1,"COST ",3390,211,0.0622418879056047
"217","CHEYENNE ","CO ",0,0,"COST ",333,0,0
"218","CLEAR CREEK ","CO ",3,3,"COST ",638,241,0.377742946708464
"219","CONEJOS ","CO ",2,2,"COST ",1533,211,0.137638617090672
"220","COSTILLA ","CO ",2,2,"COST ",893,76,0.0851063829787234
"221","CROWLEY ","CO ",1,1,"COST ",662,22,0.0332326283987915
"222","CUSTER ","CO ",2,2,"COST ",840,61,0.0726190476190476
"223","DELTA ","CO ",3,3,"HCPP ",6578,1646,0.250228032836729
"224","DENVER ","CO ",11,5,"HCPP ",71778,25826,0.359803839616596
"225","DOLORES ","CO ",1,1,"COST ",408,15,0.0367647058823529
"226","DOUGLAS ","CO ",39,26,"COST ",8821,21189,2.40210860446661
"227","EAGLE ","CO ",1,1,"COST ",1992,130,0.0652610441767068
"228","EL PASO ","CO ",18,7,"HCPP ",61776,13743,0.222465034965035
"229","ELBERT ","CO ",3,3,"COST ",1679,396,0.235854675402025
