countyname,state,countyssa,eligibles,numberofplans1,numberofplans2,totalenrollees,totalpenetration
BOONE,NE,28050,1324,0,0,0,0
BOX BUTTE,NE,28060,1945,0,0,0,0
BOYD,NE,28070,647,0,0,0,0
BROWN,NE,28080,843,0,0,0,0
BUFFALO,NE,28090,5910,3,2,117,1.9796954314720812
BURT,NE,28100,1791,1,1,38,2.1217197096594083
BUTLER,NE,28110,1688,0,0,0,0
CASS,NE,28120,3560,2,2,115,3.230337078651685
CEDAR,NE,28130,1834,1,1,82,4.471101417666303
CHASE,NE,28140,915,0,0,0,0
CHERRY,NE,28150,1266,0,0,0,0
CHEYENNE,NE,28160,1849,0,0,0,0
CLAY,NE,28170,1476,1,1,11,0.7452574525745257
COLFAX,NE,28180,3612,0,0,0,0
CUMING,NE,28190,1922,1,1,18,0.9365244536940687
CUSTER,NE,28200,2507,1,1,22,0.8775428799361787
DAKOTA,NE,28210,2482,1,1,180,7.2522159548751
DAWES,NE,28220,1548,0,0,0,0
DAWSON,NE,28230,3581,3,3,105,2.932141859815694
DEUEL,NE,28240,518,0,0,0,0
DIXON,NE,28250,1323,1,1,198,14.965986394557824
DODGE,NE,28260,7151,2,0,49,0.6852188505104181
DOUGLAS,NE,28270,64205,4,3,9164,14.273031695350829
DUNDY,NE,28280,486,0,0,0,0
FILLMORE,NE,28290,1408,0,0,0,0
FRANKLIN,NE,28300,895,0,0,0,0
FRONTIER,NE,28310,553,0,0,0,0
FURNAS,NE,28320,1413,0,0,0,0
GAGE,NE,28330,5235,0,0,0,0
GARDEN,NE,28340,644,0,0,0,0
GARFIELD,NE,28350,543,0,0,0,0
GOSPER,NE,28360,522,0,0,0,0
GRANT,NE,28370,173,0,0,0,0
GREELEY,NE,28380,624,0,0,0,0
HALL,NE,28390,8669,3,2,212,2.445495443534433
HAMILTON,NE,28400,1561,0,0,0,0
HARLAN,NE,28410,808,1,1,12,1.4851485148514851
HAYES,NE,28420,116,0,0,0,0
HITCHCOCK,NE,28430,778,0,0,0,0
HOLT,NE,28440,2409,0,0,0,0
HOWARD,NE,28460,1279,0,0,0,0
JEFFERSON,NE,28470,2017,0,0,0,0
JOHNSON,NE,28480,1003,0,0,0,0
KEARNEY,NE,28490,1161,0,0,0,0
KEITH,NE,28500,1771,1,1,14,0.7905138339920948
KIMBALL,NE,28520,917,0,0,0,0
KNOX,NE,28530,2239,1,1,12,0.5359535506922734
LANCASTER,NE,28540,32606,4,0,189,0.57964791756118506
LINCOLN,NE,28550,6211,1,1,783,12.606665593302205
LOGAN,NE,28560,164,0,0,0,0
MADISON,NE,28590,6256,2,2,142,2.2698209718670075
MCPHERSON,NE,28580,125,0,0,0,0
MERRICK,NE,28600,1565,2,2,26,1.6613418530351438
MORRILL,NE,28610,1070,0,0,0,0
"NANCE",NE,28620,831,0,0,0,0
NEMAHA,NE,28630,1427,0,0,0,0
NUCKOLLS,NE,28640,1288,0,0,0,0
OTOE,NE,28650,2937,2,1,74,2.519577800476677
PAWNEE,NE,28660,793,0,0,0,0
PERKINS,NE,28670,635,0,0,0,0
PHELPS,NE,28680,1898,1,1,32,1.6859852476290833
PIERCE,NE,28690,1248,0,0,0,0
PLATTE,NE,28700,3329,2,2,36,1.0814058275758487
POLK,NE,28710,1077,0,0,0,0
RED WILLOW,NE,28720,2432,0,0,0,0
RICHARDSON,NE,28730,2192,1,0,11,0.5018248175182481
SALINE,NE,28750,2472,0,0,0,0
SARPY,NE,28760,10231,3,2,773,7.5554686736389405
SAUNDERS,NE,28770,3328,0,0,0,0
SCOTTS BLUFF,NE,28780,7569,2,0,31,0.4095653322763905
SEWARD,NE,28790,2610,0,0,0,0
SHERIDAN,NE,28800,1340,1,1,11,0.8208955223880597
SHERMAN,NE,28810,750,0,0,0,0
SIOUX,NE,28820,131,0,0,0,0
STANTON,NE,28830,599,1,1,16,2.671118530884808
THAYER,NE,28840,1501,0,0,0,0
THOMAS,NE,28850,115,0,0,0,0
THURSTON,NE,28860,1003,0,0,0,0
VALLEY,NE,28870,1104,0,0,0,0
WASHINGTON,NE,28880,2661,2,1,114,4.284103720405862
WAYNE,NE,28890,1338,1,1,67,5.007473841554559
WEBSTER,NE,28900,1058,0,0,0,0
WHEELER,NE,28910,152,0,0,0,0
YORK,NE,28920,2755,0,0,0,0
BELKNAP,NH,30000,12192,0,0,0,0
CARROLL,NH,30010,9919,0,0,0,0
CHESHIRE,NH,30020,12753,0,0,0,0
COOS,NH,30030,7846,0,0,0,0
GRAFTON,NH,30040,14469,0,0,0,0
HILLSBOROUGH,NH,30050,52379,5,1,1156,2.2069913514958284
MERRIMACK,NH,30060,21527,0,0,0,0
ROCKINGHAM,NH,30070,39044,2,0,81,0.2074582522282553
STRAFFORD,NH,30080,16527,0,0,0,0
SULLIVAN,NH,30090,7707,0,0,0,0
ATLANTIC,NJ,31000,42549,6,2,2812,6.608850971820725
BERGEN,NJ,31100,141754,11,4,10619,7.491146634310143
BURLINGTON,NJ,31150,65123,7,4,8012,12.30287302489136
CAMDEN,NJ,31160,76053,7,4,10283,13.52083415512866
CAPE MAY,NJ,31180,22674,6,3,1913,8.436976272382465
CUMBERLAND,NJ,31190,23891,5,2,1980,8.287639696957013
ESSEX,NJ,31200,102754,10,4,7596,7.392412947427838
GLOUCESTER,NJ,31220,36338,7,4,4021,11.065551213605591
HUDSON,NJ,31230,71891,12,4,5109,7.10659192388477
HUNTERDON,NJ,31250,16540,3,2,872,5.272067714631197
MERCER,NJ,31260,54484,6,2,3671,6.737757873871228
MIDDLESEX,NJ,31270,101962,10,3,6810,6.678958827798592
MONMOUTH,NJ,31290,93673,10,5,6828,7.289186852134553
MORRIS,NJ,31300,66283,5,2,3248,4.900200654768191
OCEAN,NJ,31310,127635,12,5,12996,10.182160065812669
PASSAIC,NJ,31320,67023,7,4,5082,7.58247168882324
SALEM,NJ,31340,11238,3,2,439,3.9063890371952303
SOMERSET,NJ,31350,36023,5,2,1965,5.4548482913694025
SUSSEX,NJ,31360,18345,4,3,1215,6.623058053965658
UNION,NJ,31370,76778,8,4,5918,7.7079371695016805
WARREN,NJ,31390,17099,2,2,692,4.04702029358442
BERNALILLO,NM,32000,84414,8,2,30271,35.86016537541166
CATRON,NM,32010,883,0,0,0,0
CHAVES,NM,32020,10764,2,0,32,0.29728725380899296
CIBOLA,NM,32025,3035,3,2,149,4.909390444810544
COLFAX,NM,32030,2861,3,3,67,2.341838518000699
CURRY,NM,32040,6457,2,2,348,5.389499767693976
DE BACA,NM,32050,526,1,1,13,2.4714828897338403
DONA ANA,NM,32060,25181,4,1,504,2.001509074302053
EDDY,NM,32070,8830,2,0,30,0.33975084937712347
GRANT,NM,32080,6538,3,0,37,0.5659223003976751
GUADALUPE,NM,32090,868,0,0,0,0
HARDING,NM,32100,216,0,0,0,0
HIDALGO,NM,32110,881,0,0,0,0
LEA,NM,32120,8179,1,0,11,0.13449076904267027
LINCOLN,NM,32130,4160,1,0,14,0.33653846153846156
LOS ALAMOS,NM,32131,2414,0,0,0,0
LUNA,NM,32140,5555,2,1,65,1.17011701170117
MCKINLEY,NM,32150,7319,2,0,30,0.40989206175707066
MORA,NM,32160,1041,0,0,0,0
OTERO,NM,32170,8936,2,1,76,0.8504923903312444
QUAY,NM,32180,2172,0,0,0,0
RIO ARRIBA,NM,32190,6297,3,2,209,3.3190408130855964
ROOSEVELT,NM,32200,2683,1,1,15,0.5590756615728661
SAN JUAN,NM,32220,14514,2,0,42,0.28937577511368334
SAN MIGUEL,NM,32230,5072,2,1,45,0.887223974763407
SANDOVAL,NM,32210,13558,4,2,5226,38.545508187048235
SANTA FE,NM,32240,19483,4,3,3051,15.659805984704615
SIERRA,NM,32250,3682,1,0,11,0.29875067897881585
SOCORRO,NM,32260,2463,3,3,85,3.4510759236703206
TAOS,NM,32270,5311,1,0,21,0.3954057616268123
TORRANCE,NM,32280,2179,2,2,654,30.013767783386875
UNION,NM,32290,893,0,0,0,0
VALENCIA,NM,32300,10226,4,3,3896,38.09896342655975
CARSON CITY,NV,29120,11239,3,0,63,0.5605480914672124
CHURCHILL,NV,29000,3834,0,0,0,0
CLARK,NV,29010,204135,26,2,71565,35.0576824160482
DOUGLAS,NV,29020,7847,4,1,133,1.694915254237288
ELKO,NV,29030,4108,1,1,43,1.0467380720545278
ESMERALDA,NV,29040,189,1,1,33,17.46031746031746
EUREKA,NV,29050,254,0,0,0,0
HUMBOLDT,NV,29060,1891,1,1,21,1.110523532522475
LANDER,NV,29070,584,0,0,0,0
LINCOLN,NV,29080,1283,0,0,0,0
LYON,NV,29090,8163,5,2,959,11.748131814283964
MINERAL,NV,29100,1258,1,1,83,6.597774244833069
NYE,NV,29110,9993,5,3,4438,44.411087761433
PERSHING,NV,29130,635,0,0,0,0
STOREY,NV,29140,187,2,2,43,22.994652406417114
WASHOE,NV,29150,51582,9,2,9589,18.58981815361948
WHITE PINE,NV,29160,1620,0,0,0,0
ALBANY,NY,33000,46281,6,3,7208,15.57442579028111
ALLEGANY,NY,33010,8538,6,2,580,6.793159990630124
BRONX,NY,33020,157417,21,7,44055,27.986176842399487
BROOME,NY,33030,39886,2,2,1100,2.7578599007170435
